round,rank,shpNm,sido,sigungu,addr,autoManual,lat,lot,ltShpId
1038,1,하나복권(가로판매점),서울,영등포구,서울 영등포구  여의나루로 42 가로판매점(여의도동),자동,37.521465,126.92499,11190138
1038,1,인터넷 복권판매사이트,서울,서초구,동행복권(dhlottery.co.kr),자동,37.482063,127.015788,51100000
1038,1,황금로또,부산,동구,부산 동구  중앙대로251번길 42-1,자동,35.120169,129.0396,12640009
1038,1,프랜드편의점,경기,화성시,경기 화성시  3.1만세로 1100-2,수동,37.132004,126.90799,14120150
1038,1,종합복권슈퍼,경기,시흥시,경기 시흥시  마유로 336 정일빌딩104,자동,37.345744,126.73558,14190102
1038,1,한아름복권방(매탄점),경기,수원시 영통구,경기 수원시 영통구  권선로 808,수동,37.255312,127.03867,14100405
1038,1,그린마트,경기,성남시 분당구,경기 성남시 분당구  대왕판교로 255 107호,자동,37.366467,127.100828,14110036
1038,1,대한복권,경기,부천시,경기 부천시  부천로 52,자동,37.488838,126.784,14190199
1038,1,고려슈퍼마켓,경기,구리시,경기 구리시  원수택로64번길 28 상가,자동,37.596315,127.14352,14100324
1038,1,이마트24망상해변점,강원,동해시,강원 동해시  동해대로 6270-20 1층 118호 이마트24망상해변점,자동,37.592716,129.090756,14230008
1038,1,진평양행,강원,강릉시,강원 강릉시  임영로 107,자동,37.751254,128.89409,14290014
1038,1,NG24,경북,칠곡군,경북 칠곡군  북중리3길 59,수동,36.079802,128.41185,14700094
1038,1,천하명당(팔용점),경남,창원시 의창구,경남 창원시 의창구  사화로 26,자동,35.256517,128.61068,14800146
1038,1,행운복권방,제주,제주시,제주 제주시  우정로11길 12,수동,33.487662,126.43214,14910018
1038,1,킹로또,제주,제주시,제주 제주시  아란4길 85-5 1층,수동,33.470151,126.54225,14940006
1039,1,잠실매점,서울,송파구,서울 송파구  올림픽로 269 잠실역 8번출구 앞 가판,자동,37.514446,127.100711,11101248
1039,1,복권마을,서울,구로구,서울 구로구  구로동로 72,반자동,37.48533,126.88603,11100130
1039,1,당첨로또,부산,동구,부산 동구  범일로90번길 6-1 1층,자동,35.137849,129.06023,12640010
1039,1,라이프마트,인천,중구,인천 중구  연안부두로53번길 36 5호,자동,37.452608,126.60407,12890069
1039,1,위너로또,인천,남동구,인천 남동구  구월남로 212 동원프라자 101호,자동,37.452447,126.71312,12840017
1039,1,알리바이,광주,광산구,광주 광산구  수등로 253 1층 알리바이,자동,35.185381,126.83665,12900150
1039,1,대박명당,경기,양주시,경기 양주시  옥정동로5길 6,자동,37.81649,127.09872,14140860
1039,1,로또대박,경기,부천시,경기 부천시  석천로177번길 11 제이클래스중동 1층 105호,자동,37.503047,126.76206,14110512
1039,1,은미복권방,경기,부천시,경기 부천시  소사로794번길 6,자동,37.526979,126.80514,14110025
1039,1,토큰박스,경기,남양주시,경기 남양주시  진건오남로 112-1 동양할인마트 앞 로또판매점,자동,37.660583,127.17845,14100524
1039,1,행운복권방,충북,청주시 상당구,충북 청주시 상당구  단재로 119,자동,36.618726,127.498006,14390020
1039,1,신불당로또,충남,천안시 서북구,충남 천안시 서북구  불당21로 40 501동 지1층 B143호,자동,36.813257,127.10448,14430011
1039,1,현대장미슈퍼,전북,익산시,전북 익산시  동서로61길 41 현대아파트1층108호,자동,35.955361,126.98089,14590055
1039,1,알리바이(나주점),전남,나주시,전남 나주시  나주로 142 알리바이,자동,35.031329,126.71715,14600083
1039,1,알리바이(나주점),전남,나주시,전남 나주시  나주로 142 알리바이,자동,35.031329,126.71715,14600083
1039,1,복권방,제주,서귀포시,제주 서귀포시  상모로 326,자동,33.222342,126.2546,14900004
1040,1,로그인편의점,서울,성동구,서울 성동구  천호대로 430 103호 로그인편의점,수동,37.560824,127.06655,11140611
1040,1,소리창고,서울,강서구,서울 강서구  강서로 306,수동,37.552887,126.83674,11190156
1040,1,뉴빅마트,부산,기장군,부산 기장군  정관중앙로 48 106호,자동,35.321095,129.17927,12600128
1040,1,새상무복권,광주,서구,광주 서구  치평로 30 수암빌딩 1층 102호,자동,35.149953,126.84766,12910006
1040,1,온천로또방,대전,유성구,대전 유성구  계룡로 92 유성CJ나인파크 1층 101-3호,자동,36.353474,127.34059,13040057
1040,1,드림복권방,경기,의정부시,경기 의정부시  청사로5번길 8-17 1층 112호(신곡동센타프라자),자동,37.711758,127.0473,14141896
1040,1,행운복권,경기,군포시,경기 군포시  대야1로 3 현대팰리스 1동,자동,37.32652,126.91895,14140163
1041,1,꿈이현실로,서울,중구,서울 중구  청계천로 182,수동,37.56857,126.99776,11101283
1041,1,인터넷 복권판매사이트,서울,서초구,동행복권(dhlottery.co.kr),수동,37.482063,127.015788,51100000
1041,1,인터넷 복권판매사이트,서울,서초구,동행복권(dhlottery.co.kr),수동,37.482063,127.015788,51100000
1041,1,스파,서울,노원구,서울 노원구  동일로 1493 상계주공아파트(10단지) 주공10단지종합상가111,자동,37.661671,127.05789,11100773
1041,1,행운편의점,광주,북구,광주 북구  면앙로 36,수동,35.179394,126.91615,12900074
1041,1,행운편의점,광주,북구,광주 북구  면앙로 36,수동,35.179394,126.91615,12900074
1041,1,행운편의점,광주,북구,광주 북구  면앙로 36,수동,35.179394,126.91615,12900074
1041,1,한꿈복권방,울산,중구,울산 중구  번영로 586,자동,35.568772,129.34587,13100057
1041,1,CU행운로또 세종디펠리체점,세종,,세종   나성북1로 22 CU편의점,수동,36.491088,127.25876,13240031
1041,1,송산로또천하,경기,화성시,경기 화성시  송산포도로 82 제A동 5호,수동,37.213675,126.74026,14130198
1041,1,이충복권방,경기,평택시,경기 평택시  송탄로 108 1층103호,수동,37.054477,127.056,14140083
1041,1,드림복권전문점,경기,평택시,경기 평택시  평남로 651,자동,36.991935,127.10696,14190158
1041,1,와이케이복권방,경기,용인시 수지구,경기 용인시 수지구  광교중앙로 297 디동 107호,자동,37.296703,127.068588,14140193
1041,1,1등복권방,경기,성남시 분당구,경기 성남시 분당구  미금로 45 117호 (구미동 진도훼미리프라자),수동,37.33751,127.11582,14141253
1041,1,로또도곡점,경기,남양주시,경기 남양주시  덕소로 277 대광슈퍼 1층 복권판매점,수동,37.577296,127.22612,14130106
1041,1,다드림복권,경기,김포시,경기 김포시  월하로 930 1층 101호,수동,37.704898,126.65614,14141144
1041,1,다드림복권,경기,김포시,경기 김포시  월하로 930 1층 101호,수동,37.704898,126.65614,14141144
1041,1,도계복권방,강원,삼척시,강원 삼척시  도계로 287-2,수동,37.234908,129.04468,14240051
1041,1,대산슈퍼,충남,천안시 동남구,충남 천안시 동남구  복구정3길 1,자동,36.770047,127.25019,14400033
1041,1,순창복권방,전북,순창군,전북 순창군  순창읍 장류로 369,수동,35.376484,127.14276,14590023
1041,1,나눔로또봉평점,경남,통영시,경남 통영시  도남로 81,수동,34.831628,128.41355,14820036
1041,1,나눔로또봉평점,경남,통영시,경남 통영시  도남로 81,수동,34.831628,128.41355,14820036
1041,1,나눔로또봉평점,경남,통영시,경남 통영시  도남로 81,수동,34.831628,128.41355,14820036
1041,1,나눔로또봉평점,경남,통영시,경남 통영시  도남로 81,수동,34.831628,128.41355,14820036
1041,1,본스튜디오,제주,제주시,제주 제주시  하귀로 111,자동,33.483591,126.407875,14910024
1042,1,행운복권마트,서울,종로구,서울 종로구  지봉로 58,수동,37.57532,127.01587,11140117
1042,1,행운복권방,서울,도봉구,서울 도봉구  노해로63길 79 우림빌딩106,자동,37.653081,127.0463,11110574
1042,1,가로판매대,서울,강동구,서울 강동구  올림픽로 648 천호역 3번 출구 앞(가판점),수동,37.539291,127.12386,11101169
1042,1,오렌지데이편의점,부산,해운대구,부산 해운대구  좌동순환로249번길 11 르네상스오피스102호,반자동,35.173974,129.181508,12690068
1042,1,백령로또,인천,옹진군,인천 옹진군  백령로278번길 18,수동,37.9722,124.71764,12820022
1042,1,로또명당,인천,미추홀구,인천 미추홀구  인주대로 423 101호,자동,37.451363,126.68363,12810040
1042,1,복권판매점,인천,남동구,인천 남동구  문화로 113 1층,자동,37.44924,126.69931,12840225
1042,1,복권백화점,경기,파주시,경기 파주시  평화로 70,자동,37.763647,126.76994,14100195
1042,1,간이매점,경기,시흥시,경기 시흥시  삼미시장4길 26,수동,37.44006,126.78192,14130120
1042,1,행복한사람들 (흥부네),경기,광주시,경기 광주시  경충대로 763,자동,37.369896,127.3039,14100793
1042,1,그린로또,강원,양양군,강원 양양군  양양로 71,자동,38.074891,128.62146,14210089
1042,1,꿈로또복권전문점,강원,강릉시,강원 강릉시  옥천로 47,자동,37.759307,128.90051,14210020
1042,1,나눔로또편의점,전남,광양시,전남 광양시  공영로 90,수동,34.935658,127.69904,14600079
1042,1,중앙로또,경북,칠곡군,경북 칠곡군  북삼로 41 복권판매점,수동,36.071485,128.34281,14710130
1042,1,중앙로또,경북,칠곡군,경북 칠곡군  북삼로 41 복권판매점,수동,36.071485,128.34281,14710130
1042,1,중앙로또,경북,칠곡군,경북 칠곡군  북삼로 41 복권판매점,수동,36.071485,128.34281,14710130
1042,1,중앙로또,경북,칠곡군,경북 칠곡군  북삼로 41 복권판매점,수동,36.071485,128.34281,14710130
1042,1,중앙로또,경북,칠곡군,경북 칠곡군  북삼로 41 복권판매점,수동,36.071485,128.34281,14710130
1042,1,중앙로또,경북,칠곡군,경북 칠곡군  북삼로 41 복권판매점,수동,36.071485,128.34281,14710130
1042,1,중앙로또,경북,칠곡군,경북 칠곡군  북삼로 41 복권판매점,수동,36.071485,128.34281,14710130
1043,1,묵동식품,서울,중랑구,서울 중랑구  동일로 919,수동,37.61247,127.07706,11100558
1043,1,방이로또,서울,송파구,서울 송파구  가락로 245 1층,자동,37.51012,127.11796,11140336
1043,1,인터넷 복권판매사이트,서울,서초구,동행복권(dhlottery.co.kr),수동,37.482063,127.015788,51100000
1043,1,화신상사,부산,동래구,부산 동래구  삼성대길 48,자동,35.20508,129.08173,12600074
1043,1,세븐일레븐 인천효성점,인천,계양구,인천 계양구  안남로 551,자동,37.532252,126.71041,12800172
1043,1,희망복권방,인천,계양구,인천 계양구  효서로 293,자동,37.528108,126.72873,12830025
1043,1,옥교대박점,울산,중구,울산 중구  옥교3길 94 (학산동),수동,35.553334,129.33133,13140089
1043,1,대박명당,울산,남구,울산 남구  중앙로 154,자동,35.534849,129.31451,13190006
1043,1,한방복권방,경기,화성시,경기 화성시  효행로763번길 23,수동,37.205192,127.01398,14190239
